Country,Year,Attack Type,Target Industry,Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Unified_Attack_Category,Unified_Industry,Continent,Nation_Wealth,West_or_East,Pandemic_Era,Is_Leap_Year
Australia,2021,Man-in-the-Middle,Healthcare,687020,Unknown,Weak Passwords,Antivirus,48,Hacking/Intrusion,Healthcare,Oceania,High Income,Western,Post-Pandemic,False
USA,2020,Ransomware,Education,550317,Insider,Weak Passwords,Encryption,63,Malware,Education,North America,High Income,Western,Post-Pandemic,True
Germany,2021,Phishing,Banking,170032,Nation-state,Social Engineering,Encryption,24,Social Engineering,Finance,Europe,High Income,Western,Post-Pandemic,False
China,2020,SQL Injection,Healthcare,388591,Unknown,Zero-day,Antivirus,68,Hacking/Intrusion,Healthcare,Asia,Upper-Middle Income,Eastern,Post-Pandemic,True
India,2023,DDoS,Healthcare,438318,Hacker Group,Unpatched Software,AI-based Detection,39,Hacking/Intrusion,Healthcare,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
India,2018,DDoS,Education,63389,Insider,Unpatched Software,VPN,20,Hacking/Intrusion,Education,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
USA,2015,Man-in-the-Middle,Retail,377602,Nation-state,Zero-day,Firewall,15,Hacking/Intrusion,Retail,North America,High Income,Western,Pre-Pandemic,False
France,2021,SQL Injection,Government,467551,Unknown,Unpatched Software,Encryption,61,Hacking/Intrusion,Government,Europe,High Income,Western,Post-Pandemic,False
UK,2022,Malware,Telecommunications,361529,Nation-state,Social Engineering,Firewall,67,Malware,Telecommunications,Europe,High Income,Western,Post-Pandemic,False
Australia,2019,Man-in-the-Middle,Retail,677755,Hacker Group,Social Engineering,Firewall,52,Hacking/Intrusion,Retail,Oceania,High Income,Western,Pre-Pandemic,False
UK,2022,Man-in-the-Middle,IT,303838,Nation-state,Zero-day,AI-based Detection,56,Hacking/Intrusion,Technology,Europe,High Income,Western,Post-Pandemic,False
India,2016,Ransomware,Banking,339815,Insider,Weak Passwords,Firewall,58,Malware,Finance,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,True
Russia,2020,Ransomware,Banking,820140,Insider,Social Engineering,VPN,63,Malware,Finance,Europe,Upper-Middle Income,Eastern,Post-Pandemic,True
Russia,2015,Ransomware,IT,879875,Insider,Zero-day,Encryption,61,Malware,Technology,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
Brazil,2022,Man-in-the-Middle,Healthcare,987320,Unknown,Zero-day,AI-based Detection,44,Hacking/Intrusion,Healthcare,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Japan,2023,SQL Injection,Government,772948,Unknown,Zero-day,VPN,43,Hacking/Intrusion,Government,Asia,High Income,Eastern,Post-Pandemic,False
Brazil,2015,Phishing,Healthcare,794914,Insider,Social Engineering,Firewall,34,Social Engineering,Healthcare,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
Brazil,2019,DDoS,Telecommunications,198563,Hacker Group,Social Engineering,Firewall,24,Hacking/Intrusion,Telecommunications,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
Germany,2022,DDoS,Retail,32346,Nation-state,Unpatched Software,AI-based Detection,38,Hacking/Intrusion,Retail,Europe,High Income,Western,Post-Pandemic,False
China,2015,Phishing,Banking,541829,Nation-state,Zero-day,Antivirus,33,Social Engineering,Finance,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
Russia,2024,Phishing,Telecommunications,446028,Hacker Group,Weak Passwords,VPN,37,Social Engineering,Telecommunications,Europe,Upper-Middle Income,Eastern,Post-Pandemic,True
France,2022,Malware,Education,759625,Insider,Social Engineering,Encryption,14,Malware,Education,Europe,High Income,Western,Post-Pandemic,False
Brazil,2017,Phishing,Retail,520654,Nation-state,Social Engineering,VPN,53,Social Engineering,Retail,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
USA,2023,DDoS,IT,248383,Insider,Social Engineering,Firewall,55,Hacking/Intrusion,Technology,North America,High Income,Western,Post-Pandemic,False
China,2017,Man-in-the-Middle,Banking,855974,Unknown,Social Engineering,VPN,44,Hacking/Intrusion,Finance,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
China,2020,Malware,Government,50842,Insider,Zero-day,AI-based Detection,59,Malware,Government,Asia,Upper-Middle Income,Eastern,Post-Pandemic,True
Germany,2015,Man-in-the-Middle,Education,697275,Nation-state,Weak Passwords,Encryption,59,Hacking/Intrusion,Education,Europe,High Income,Western,Pre-Pandemic,False
Germany,2022,Man-in-the-Middle,Telecommunications,419912,Nation-state,Zero-day,AI-based Detection,40,Hacking/Intrusion,Telecommunications,Europe,High Income,Western,Post-Pandemic,False
Japan,2023,Man-in-the-Middle,Banking,193620,Nation-state,Zero-day,VPN,67,Hacking/Intrusion,Finance,Asia,High Income,Eastern,Post-Pandemic,False
China,2024,SQL Injection,Banking,777684,Unknown,Zero-day,VPN,31,Hacking/Intrusion,Finance,Asia,Upper-Middle Income,Eastern,Post-Pandemic,True
UK,2018,Malware,Healthcare,375245,Hacker Group,Social Engineering,Firewall,20,Malware,Healthcare,Europe,High Income,Western,Pre-Pandemic,False
China,2023,Man-in-the-Middle,IT,656090,Insider,Unpatched Software,Encryption,27,Hacking/Intrusion,Technology,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
Australia,2016,Man-in-the-Middle,IT,653967,Unknown,Unpatched Software,Encryption,21,Hacking/Intrusion,Technology,Oceania,High Income,Western,Pre-Pandemic,True
India,2022,SQL Injection,Education,977791,Unknown,Weak Passwords,Antivirus,15,Hacking/Intrusion,Education,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
UK,2023,DDoS,Telecommunications,397687,Hacker Group,Social Engineering,VPN,65,Hacking/Intrusion,Telecommunications,Europe,High Income,Western,Post-Pandemic,False
France,2017,Malware,Banking,719537,Nation-state,Zero-day,AI-based Detection,23,Malware,Finance,Europe,High Income,Western,Pre-Pandemic,False
Brazil,2017,DDoS,Telecommunications,724790,Hacker Group,Unpatched Software,Firewall,64,Hacking/Intrusion,Telecommunications,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
France,2016,Phishing,IT,51723,Hacker Group,Weak Passwords,Encryption,23,Social Engineering,Technology,Europe,High Income,Western,Pre-Pandemic,True
India,2023,Ransomware,Healthcare,312340,Nation-state,Zero-day,VPN,35,Malware,Healthcare,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
India,2016,Man-in-the-Middle,Banking,995025,Unknown,Weak Passwords,AI-based Detection,52,Hacking/Intrusion,Finance,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,True
France,2024,SQL Injection,Telecommunications,336356,Hacker Group,Unpatched Software,Encryption,2,Hacking/Intrusion,Telecommunications,Europe,High Income,Western,Post-Pandemic,True
France,2017,Ransomware,Retail,886212,Unknown,Weak Passwords,Encryption,67,Malware,Retail,Europe,High Income,Western,Pre-Pandemic,False
Japan,2016,Ransomware,Healthcare,209358,Nation-state,Social Engineering,Firewall,25,Malware,Healthcare,Asia,High Income,Eastern,Pre-Pandemic,True
Russia,2022,DDoS,Education,495616,Nation-state,Unpatched Software,Antivirus,38,Hacking/Intrusion,Education,Europe,Upper-Middle Income,Eastern,Post-Pandemic,False
China,2021,SQL Injection,Government,224311,Insider,Zero-day,Firewall,57,Hacking/Intrusion,Government,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
Japan,2022,DDoS,IT,65516,Insider,Weak Passwords,Firewall,37,Hacking/Intrusion,Technology,Asia,High Income,Eastern,Post-Pandemic,False
Germany,2024,Ransomware,Government,301972,Unknown,Weak Passwords,VPN,33,Malware,Government,Europe,High Income,Western,Post-Pandemic,True
Germany,2015,Phishing,Telecommunications,124250,Insider,Zero-day,AI-based Detection,64,Social Engineering,Telecommunications,Europe,High Income,Western,Pre-Pandemic,False
USA,2018,Man-in-the-Middle,Healthcare,733934,Nation-state,Zero-day,Firewall,31,Hacking/Intrusion,Healthcare,North America,High Income,Western,Pre-Pandemic,False
Brazil,2022,Malware,IT,377446,Unknown,Zero-day,AI-based Detection,12,Malware,Technology,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
China,2021,SQL Injection,IT,430792,Insider,Weak Passwords,Antivirus,9,Hacking/Intrusion,Technology,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
UK,2015,Malware,IT,825881,Unknown,Zero-day,AI-based Detection,35,Malware,Technology,Europe,High Income,Western,Pre-Pandemic,False
USA,2020,Malware,Telecommunications,858207,Nation-state,Unpatched Software,AI-based Detection,42,Malware,Telecommunications,North America,High Income,Western,Post-Pandemic,True
Germany,2021,Ransomware,Healthcare,912847,Unknown,Weak Passwords,Antivirus,27,Malware,Healthcare,Europe,High Income,Western,Post-Pandemic,False
UK,2018,Malware,Banking,82287,Unknown,Unpatched Software,Encryption,61,Malware,Finance,Europe,High Income,Western,Pre-Pandemic,False
USA,2020,Man-in-the-Middle,Education,527938,Nation-state,Zero-day,Encryption,1,Hacking/Intrusion,Education,North America,High Income,Western,Post-Pandemic,True
UK,2022,DDoS,Telecommunications,645154,Insider,Weak Passwords,AI-based Detection,16,Hacking/Intrusion,Telecommunications,Europe,High Income,Western,Post-Pandemic,False
India,2018,Ransomware,Retail,732636,Hacker Group,Zero-day,VPN,3,Malware,Retail,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
Russia,2015,DDoS,Retail,26321,Nation-state,Zero-day,Encryption,11,Hacking/Intrusion,Retail,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
Germany,2023,Ransomware,Banking,982507,Unknown,Unpatched Software,Encryption,39,Malware,Finance,Europe,High Income,Western,Post-Pandemic,False
Russia,2019,Malware,Retail,367712,Nation-state,Weak Passwords,Firewall,13,Malware,Retail,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
Russia,2015,DDoS,Telecommunications,236346,Insider,Unpatched Software,AI-based Detection,55,Hacking/Intrusion,Telecommunications,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
Australia,2018,SQL Injection,Retail,287089,Nation-state,Weak Passwords,Encryption,8,Hacking/Intrusion,Retail,Oceania,High Income,Western,Pre-Pandemic,False
Brazil,2024,Malware,Healthcare,964191,Unknown,Weak Passwords,VPN,36,Malware,Healthcare,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,True
China,2016,SQL Injection,Healthcare,55913,Nation-state,Social Engineering,Antivirus,70,Hacking/Intrusion,Healthcare,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,True
Japan,2015,Phishing,Government,850600,Insider,Zero-day,Encryption,17,Social Engineering,Government,Asia,High Income,Eastern,Pre-Pandemic,False
France,2024,Phishing,Retail,201137,Hacker Group,Zero-day,Antivirus,25,Social Engineering,Retail,Europe,High Income,Western,Post-Pandemic,True
Germany,2017,Malware,Healthcare,859708,Nation-state,Weak Passwords,Encryption,10,Malware,Healthcare,Europe,High Income,Western,Pre-Pandemic,False
Russia,2016,Phishing,Government,863777,Insider,Zero-day,Antivirus,20,Social Engineering,Government,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,True
Japan,2024,SQL Injection,Banking,521384,Unknown,Social Engineering,Antivirus,32,Hacking/Intrusion,Finance,Asia,High Income,Eastern,Post-Pandemic,True
Russia,2022,SQL Injection,Government,474183,Insider,Weak Passwords,Antivirus,27,Hacking/Intrusion,Government,Europe,Upper-Middle Income,Eastern,Post-Pandemic,False
Brazil,2018,SQL Injection,Retail,829742,Insider,Unpatched Software,Firewall,57,Hacking/Intrusion,Retail,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
USA,2021,DDoS,Telecommunications,460842,Unknown,Weak Passwords,AI-based Detection,59,Hacking/Intrusion,Telecommunications,North America,High Income,Western,Post-Pandemic,False
Australia,2022,Malware,Retail,839881,Unknown,Zero-day,Firewall,51,Malware,Retail,Oceania,High Income,Western,Post-Pandemic,False
Brazil,2017,DDoS,IT,860625,Unknown,Zero-day,Firewall,4,Hacking/Intrusion,Technology,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
UK,2019,SQL Injection,Healthcare,263110,Insider,Social Engineering,Firewall,6,Hacking/Intrusion,Healthcare,Europe,High Income,Western,Pre-Pandemic,False
Japan,2020,Man-in-the-Middle,IT,506364,Nation-state,Social Engineering,Firewall,66,Hacking/Intrusion,Technology,Asia,High Income,Eastern,Post-Pandemic,True
USA,2021,Phishing,Education,176772,Insider,Unpatched Software,Firewall,6,Social Engineering,Education,North America,High Income,Western,Post-Pandemic,False
Brazil,2021,SQL Injection,Retail,564277,Nation-state,Weak Passwords,Firewall,1,Hacking/Intrusion,Retail,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Australia,2017,Man-in-the-Middle,Retail,36780,Insider,Unpatched Software,AI-based Detection,64,Hacking/Intrusion,Retail,Oceania,High Income,Western,Pre-Pandemic,False
Germany,2021,Ransomware,Retail,589744,Nation-state,Weak Passwords,VPN,32,Malware,Retail,Europe,High Income,Western,Post-Pandemic,False
Russia,2018,Malware,Government,309230,Hacker Group,Social Engineering,Encryption,61,Malware,Government,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
China,2024,Man-in-the-Middle,Telecommunications,4913,Hacker Group,Weak Passwords,AI-based Detection,61,Hacking/Intrusion,Telecommunications,Asia,Upper-Middle Income,Eastern,Post-Pandemic,True
Brazil,2020,SQL Injection,Education,350295,Insider,Unpatched Software,Encryption,5,Hacking/Intrusion,Education,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,True
USA,2020,DDoS,Banking,998937,Nation-state,Zero-day,Antivirus,19,Hacking/Intrusion,Finance,North America,High Income,Western,Post-Pandemic,True
Brazil,2018,Malware,Telecommunications,445546,Nation-state,Weak Passwords,Firewall,45,Malware,Telecommunications,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
Brazil,2023,SQL Injection,Healthcare,486146,Insider,Zero-day,Firewall,12,Hacking/Intrusion,Healthcare,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
UK,2016,Phishing,Education,466333,Hacker Group,Zero-day,Firewall,51,Social Engineering,Education,Europe,High Income,Western,Pre-Pandemic,True
Japan,2019,Phishing,Government,706019,Nation-state,Zero-day,Encryption,65,Social Engineering,Government,Asia,High Income,Eastern,Pre-Pandemic,False
UK,2020,DDoS,Retail,971464,Nation-state,Weak Passwords,Firewall,4,Hacking/Intrusion,Retail,Europe,High Income,Western,Post-Pandemic,True
India,2015,Man-in-the-Middle,IT,224983,Nation-state,Weak Passwords,AI-based Detection,42,Hacking/Intrusion,Technology,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
Brazil,2019,Ransomware,Telecommunications,919425,Nation-state,Unpatched Software,Encryption,45,Malware,Telecommunications,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
Russia,2023,DDoS,Telecommunications,115138,Unknown,Unpatched Software,Encryption,42,Hacking/Intrusion,Telecommunications,Europe,Upper-Middle Income,Eastern,Post-Pandemic,False
Japan,2020,Phishing,IT,786468,Nation-state,Social Engineering,AI-based Detection,42,Social Engineering,Technology,Asia,High Income,Eastern,Post-Pandemic,True
India,2023,Phishing,Retail,620560,Hacker Group,Weak Passwords,Antivirus,59,Social Engineering,Retail,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
USA,2017,Malware,Government,976007,Insider,Social Engineering,Encryption,59,Malware,Government,North America,High Income,Western,Pre-Pandemic,False
France,2016,DDoS,Education,361163,Hacker Group,Zero-day,Firewall,38,Hacking/Intrusion,Education,Europe,High Income,Western,Pre-Pandemic,True
Brazil,2017,Ransomware,Healthcare,469735,Nation-state,Zero-day,Encryption,57,Malware,Healthcare,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
USA,2015,Man-in-the-Middle,IT,117231,Unknown,Unpatched Software,AI-based Detection,28,Hacking/Intrusion,Technology,North America,High Income,Western,Pre-Pandemic,False
Germany,2018,Ransomware,Healthcare,276925,Unknown,Unpatched Software,VPN,54,Malware,Healthcare,Europe,High Income,Western,Pre-Pandemic,False
Australia,2019,Malware,Telecommunications,208089,Unknown,Zero-day,Antivirus,33,Malware,Telecommunications,Oceania,High Income,Western,Pre-Pandemic,False
Australia,2016,Phishing,Telecommunications,71720,Hacker Group,Zero-day,Encryption,21,Social Engineering,Telecommunications,Oceania,High Income,Western,Pre-Pandemic,True
Russia,2024,Ransomware,Telecommunications,236676,Nation-state,Social Engineering,AI-based Detection,67,Malware,Telecommunications,Europe,Upper-Middle Income,Eastern,Post-Pandemic,True
India,2024,Man-in-the-Middle,Telecommunications,409281,Nation-state,Weak Passwords,Antivirus,18,Hacking/Intrusion,Telecommunications,Asia,Lower-Middle Income,Eastern,Post-Pandemic,True
Japan,2023,Phishing,Banking,612815,Insider,Zero-day,Antivirus,12,Social Engineering,Finance,Asia,High Income,Eastern,Post-Pandemic,False
Russia,2018,SQL Injection,Telecommunications,153618,Nation-state,Weak Passwords,VPN,29,Hacking/Intrusion,Telecommunications,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
India,2023,Ransomware,Banking,704230,Nation-state,Zero-day,VPN,71,Malware,Finance,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
China,2019,Malware,Retail,863510,Hacker Group,Weak Passwords,VPN,2,Malware,Retail,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
India,2024,DDoS,Healthcare,488599,Unknown,Social Engineering,Encryption,11,Hacking/Intrusion,Healthcare,Asia,Lower-Middle Income,Eastern,Post-Pandemic,True
France,2022,Ransomware,Healthcare,964782,Unknown,Weak Passwords,VPN,47,Malware,Healthcare,Europe,High Income,Western,Post-Pandemic,False
Germany,2018,Man-in-the-Middle,IT,323027,Unknown,Unpatched Software,Encryption,49,Hacking/Intrusion,Technology,Europe,High Income,Western,Pre-Pandemic,False
China,2023,Man-in-the-Middle,Education,12970,Unknown,Social Engineering,Antivirus,32,Hacking/Intrusion,Education,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
India,2020,Man-in-the-Middle,Government,659835,Unknown,Zero-day,Encryption,46,Hacking/Intrusion,Government,Asia,Lower-Middle Income,Eastern,Post-Pandemic,True
China,2023,SQL Injection,Telecommunications,336320,Hacker Group,Social Engineering,VPN,51,Hacking/Intrusion,Telecommunications,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
China,2017,Man-in-the-Middle,Banking,83617,Insider,Unpatched Software,AI-based Detection,64,Hacking/Intrusion,Finance,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
Brazil,2018,Malware,Banking,99178,Nation-state,Unpatched Software,Antivirus,27,Malware,Finance,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
Brazil,2024,Ransomware,Education,489369,Nation-state,Unpatched Software,Encryption,41,Malware,Education,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,True
Russia,2017,Phishing,Telecommunications,620350,Hacker Group,Zero-day,Firewall,45,Social Engineering,Telecommunications,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
USA,2020,DDoS,Healthcare,846602,Insider,Weak Passwords,Firewall,31,Hacking/Intrusion,Healthcare,North America,High Income,Western,Post-Pandemic,True
India,2017,Malware,Government,650042,Nation-state,Unpatched Software,Antivirus,48,Malware,Government,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
Japan,2019,Man-in-the-Middle,Government,549197,Hacker Group,Social Engineering,Antivirus,59,Hacking/Intrusion,Government,Asia,High Income,Eastern,Pre-Pandemic,False
France,2023,Phishing,IT,138639,Hacker Group,Unpatched Software,VPN,14,Social Engineering,Technology,Europe,High Income,Western,Post-Pandemic,False
Australia,2024,Man-in-the-Middle,Healthcare,833819,Insider,Unpatched Software,Antivirus,14,Hacking/Intrusion,Healthcare,Oceania,High Income,Western,Post-Pandemic,True
India,2022,Malware,Retail,813217,Insider,Zero-day,AI-based Detection,71,Malware,Retail,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
UK,2017,Malware,Banking,636273,Insider,Zero-day,Antivirus,30,Malware,Finance,Europe,High Income,Western,Pre-Pandemic,False
Russia,2017,Man-in-the-Middle,Banking,45277,Insider,Social Engineering,Firewall,43,Hacking/Intrusion,Finance,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
Australia,2015,Phishing,Telecommunications,488342,Hacker Group,Unpatched Software,Firewall,23,Social Engineering,Telecommunications,Oceania,High Income,Western,Pre-Pandemic,False
France,2019,Phishing,IT,526220,Nation-state,Social Engineering,AI-based Detection,2,Social Engineering,Technology,Europe,High Income,Western,Pre-Pandemic,False
USA,2023,DDoS,Education,311596,Insider,Weak Passwords,VPN,23,Hacking/Intrusion,Education,North America,High Income,Western,Post-Pandemic,False
Brazil,2024,DDoS,Retail,658226,Insider,Weak Passwords,VPN,52,Hacking/Intrusion,Retail,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,True
India,2019,Phishing,Education,344693,Hacker Group,Social Engineering,Encryption,19,Social Engineering,Education,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
France,2016,Phishing,Education,380995,Unknown,Weak Passwords,VPN,60,Social Engineering,Education,Europe,High Income,Western,Pre-Pandemic,True
Brazil,2018,Malware,Banking,458185,Insider,Social Engineering,AI-based Detection,31,Malware,Finance,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
Brazil,2022,Man-in-the-Middle,Education,581034,Insider,Social Engineering,VPN,67,Hacking/Intrusion,Education,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Russia,2019,Ransomware,Retail,722544,Hacker Group,Social Engineering,Encryption,14,Malware,Retail,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
Brazil,2024,Phishing,IT,793783,Insider,Social Engineering,Firewall,17,Social Engineering,Technology,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,True
China,2023,SQL Injection,IT,620822,Unknown,Zero-day,Firewall,21,Hacking/Intrusion,Technology,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
Russia,2022,Ransomware,Healthcare,715102,Insider,Zero-day,Antivirus,2,Malware,Healthcare,Europe,Upper-Middle Income,Eastern,Post-Pandemic,False
Russia,2021,Man-in-the-Middle,Banking,634390,Unknown,Zero-day,Antivirus,54,Hacking/Intrusion,Finance,Europe,Upper-Middle Income,Eastern,Post-Pandemic,False
Japan,2021,Ransomware,Government,791473,Nation-state,Weak Passwords,Firewall,58,Malware,Government,Asia,High Income,Eastern,Post-Pandemic,False
China,2022,Phishing,IT,631816,Unknown,Weak Passwords,Firewall,29,Social Engineering,Technology,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
Germany,2016,Malware,Banking,517353,Nation-state,Social Engineering,Antivirus,41,Malware,Finance,Europe,High Income,Western,Pre-Pandemic,True
Japan,2015,Malware,Telecommunications,118734,Insider,Unpatched Software,AI-based Detection,21,Malware,Telecommunications,Asia,High Income,Eastern,Pre-Pandemic,False
India,2020,Man-in-the-Middle,Education,963367,Insider,Zero-day,Encryption,50,Hacking/Intrusion,Education,Asia,Lower-Middle Income,Eastern,Post-Pandemic,True
Australia,2021,SQL Injection,Telecommunications,71557,Insider,Social Engineering,Antivirus,47,Hacking/Intrusion,Telecommunications,Oceania,High Income,Western,Post-Pandemic,False
Brazil,2017,Ransomware,Government,824704,Hacker Group,Zero-day,Antivirus,30,Malware,Government,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
Germany,2023,Man-in-the-Middle,Banking,1326,Nation-state,Social Engineering,Antivirus,11,Hacking/Intrusion,Finance,Europe,High Income,Western,Post-Pandemic,False
UK,2015,Phishing,Banking,630931,Insider,Zero-day,AI-based Detection,48,Social Engineering,Finance,Europe,High Income,Western,Pre-Pandemic,False
Germany,2016,Phishing,Government,395731,Insider,Unpatched Software,AI-based Detection,64,Social Engineering,Government,Europe,High Income,Western,Pre-Pandemic,True
Australia,2017,Ransomware,Government,918816,Unknown,Weak Passwords,AI-based Detection,58,Malware,Government,Oceania,High Income,Western,Pre-Pandemic,False
Australia,2021,Malware,Healthcare,357205,Nation-state,Weak Passwords,Antivirus,21,Malware,Healthcare,Oceania,High Income,Western,Post-Pandemic,False
UK,2019,SQL Injection,IT,464960,Unknown,Unpatched Software,Encryption,24,Hacking/Intrusion,Technology,Europe,High Income,Western,Pre-Pandemic,False
USA,2019,Ransomware,Telecommunications,51619,Insider,Unpatched Software,VPN,3,Malware,Telecommunications,North America,High Income,Western,Pre-Pandemic,False
Brazil,2017,Phishing,IT,850794,Unknown,Social Engineering,Antivirus,69,Social Engineering,Technology,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
France,2015,Man-in-the-Middle,Banking,559841,Nation-state,Unpatched Software,VPN,22,Hacking/Intrusion,Finance,Europe,High Income,Western,Pre-Pandemic,False
China,2018,DDoS,Healthcare,685136,Nation-state,Weak Passwords,Antivirus,62,Hacking/Intrusion,Healthcare,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
Brazil,2016,Malware,Education,102797,Unknown,Weak Passwords,Firewall,17,Malware,Education,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,True
France,2022,Ransomware,Healthcare,439046,Insider,Social Engineering,VPN,42,Malware,Healthcare,Europe,High Income,Western,Post-Pandemic,False
USA,2019,SQL Injection,Telecommunications,51312,Insider,Social Engineering,AI-based Detection,26,Hacking/Intrusion,Telecommunications,North America,High Income,Western,Pre-Pandemic,False
Brazil,2022,Ransomware,Retail,510870,Unknown,Unpatched Software,AI-based Detection,35,Malware,Retail,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Russia,2021,SQL Injection,Government,348118,Hacker Group,Zero-day,VPN,42,Hacking/Intrusion,Government,Europe,Upper-Middle Income,Eastern,Post-Pandemic,False
Australia,2016,Ransomware,Healthcare,509930,Unknown,Social Engineering,AI-based Detection,68,Malware,Healthcare,Oceania,High Income,Western,Pre-Pandemic,True
UK,2016,Ransomware,IT,822380,Hacker Group,Zero-day,Firewall,26,Malware,Technology,Europe,High Income,Western,Pre-Pandemic,True
Germany,2022,SQL Injection,Banking,619669,Unknown,Unpatched Software,Antivirus,19,Hacking/Intrusion,Finance,Europe,High Income,Western,Post-Pandemic,False
Australia,2023,SQL Injection,Telecommunications,341111,Insider,Weak Passwords,VPN,14,Hacking/Intrusion,Telecommunications,Oceania,High Income,Western,Post-Pandemic,False
France,2018,Ransomware,Government,443730,Hacker Group,Weak Passwords,Antivirus,39,Malware,Government,Europe,High Income,Western,Pre-Pandemic,False
Japan,2017,DDoS,IT,824968,Insider,Weak Passwords,Encryption,15,Hacking/Intrusion,Technology,Asia,High Income,Eastern,Pre-Pandemic,False
Japan,2016,Man-in-the-Middle,Retail,172346,Nation-state,Social Engineering,AI-based Detection,51,Hacking/Intrusion,Retail,Asia,High Income,Eastern,Pre-Pandemic,True
Germany,2022,DDoS,Telecommunications,919855,Hacker Group,Weak Passwords,Antivirus,56,Hacking/Intrusion,Telecommunications,Europe,High Income,Western,Post-Pandemic,False
Germany,2021,Man-in-the-Middle,IT,254634,Hacker Group,Social Engineering,AI-based Detection,5,Hacking/Intrusion,Technology,Europe,High Income,Western,Post-Pandemic,False
France,2022,Phishing,Retail,724409,Unknown,Weak Passwords,Antivirus,56,Social Engineering,Retail,Europe,High Income,Western,Post-Pandemic,False
UK,2018,Phishing,Healthcare,269142,Unknown,Unpatched Software,Encryption,72,Social Engineering,Healthcare,Europe,High Income,Western,Pre-Pandemic,False
India,2024,Phishing,Retail,32067,Insider,Unpatched Software,Antivirus,19,Social Engineering,Retail,Asia,Lower-Middle Income,Eastern,Post-Pandemic,True
Germany,2020,Malware,Government,591314,Hacker Group,Weak Passwords,Encryption,65,Malware,Government,Europe,High Income,Western,Post-Pandemic,True
